Name,Story ID,Epic ID,Epic,Order,Story Points,Status
"Publicar un servicio personalizado","US20","EP05","Publicación y Mantenimiento de Servicios","42","5","Done"
"Establecer plazos de entrega","US21","EP05","Publicación y Mantenimiento de Servicios","43","5","Done"
"Editar servicios publicados","US22","EP05","Publicación y Mantenimiento de Servicios","44","5","Done"
"Pausar o eliminar servicios publicados","US23","EP05","Publicación y Mantenimiento de Servicios","45","5","Done"
"Sugerencia de precio inteligente","US46","EP10","Sugerencia de Precio Asistida","46","8","Done"
"Ajuste manual sobre precio sugerido","US47","EP10","Sugerencia de Precio Asistida","47","5","Done"
"Detalle del cálculo del precio sugerido","US48","EP10","Sugerencia de Precio Asistida","48","5","Done"
"Comparación entre propuesta y oferta","US49","EP10","Sugerencia de Precio Asistida","49","3","Done"
"Historial de precios de servicios similares","US50","EP10","Sugerencia de Precio Asistida","50","2","Done"
"Investigación de autenticación con Google","SP01","EP02","Autenticación y Gestión de Cuenta","51","","Done"
"Recuperación segura de contraseña","SP02","EP02","Autenticación y Gestión de Cuenta","52","","Done"
"Investigación de motores de búsqueda y filtros","SP03","EP06","Descubrimiento del Catálogo","53","","Done"
"Investigación de mensajería en tiempo real","SP04","EP11","Mensajería Coordinada Cliente-Freelancer","54","","Done"
"Investigación para cálculo inteligente de precios","SP05","EP10","Sugerencia de Precio Asistida","55","","Done"
"Gestión de archivos y portafolio","SP06","EP04","Portafolio y Evidencias del Freelancer","56","","Done"
"Contratación directa y pagos","SP07","EP08","Solicitud y Acuerdo de Contratación","57","","To-do"
"Sistema de calificaciones y opiniones","SP08","EP07","Reputación y Reseñas Públicas","58","","Done"
"Previsualizar y ordenar las imágenes de mi servicio antes de publicarlo","US51","EP05","Publicación y Mantenimiento de Servicios","59","5","Done"
"Almacenamiento seguro de imágenes de evidencia en mi portafolio","US52","EP04","Portafolio y Evidencias del Freelancer","60","3","Done"
"Resiliencia ante fallos de servicios externos (Circuit Breaker)","SP09","EP05","Publicación y Mantenimiento de Servicios","61","","Done"
"Pruebas basadas en contratos entre microservicios","SP10","EP08","Solicitud y Acuerdo de Contratación","62","","In-Process"
"Externalización de la configuración de Pub/Sub (JSON en Cloud Storage)","SP11","EP11","Mensajería Coordinada Cliente-Freelancer","63","","Done"
"Almacenamiento de imágenes en Supabase Storage (puerto/adaptador)","SP12","EP05","Publicación y Mantenimiento de Servicios","64","","Done"
"Optimización de rendimiento del frontend (lazy-loading y code-splitting)","SP13","EP06","Descubrimiento del Catálogo","65","","In-Process"
